,Star_name,Distance,Mass,Radius
113,TWA 26,31.0,21.0,0.94
114,2MASSW J1146345+223053,217.0,76.0,0.94
115,2MASS J11544223-3400390 [de],36.0,72.0,1.02
116,2MASSW J1155395-372735 [de],43.0,92.0,0.99
117,TWA 27A,66.0,59.0,1.08
118,TWA 27B,45.6,11.1,0.99
119,2MASS J12074836-3900043,119.0,9.0,0.98
120,2MASSI J1217110-031113 [de],262.0,75.0,1.0
121,2MASS J12255432-2739466,38.0,44.0,0.94
122,DENIS-P J1228.2-1547,61.0,44.0,1.43
123,2M 1237+6526,61.0,69.0,1.03
124,2MASSW J1239272+551537 [de],101.0,60.0,0.94
125,TWA 29,65.0,79.0,0.94
126,SDSSp J125453.90-012247.4 [de],48.0,57.0,1.03
127,Kelu-1A,51.0,54.0,0.97
128,Kelu-1B,29.7,63.0,0.94
129,2MASS J13204427+0409045,149.0,44.0,1.04
130,SDSSp J132629.82-003831.5 [de],38.0,30.0,1.4
131,SDSSp J134646.45-003150.4 [de],38.5,71.0,0.97
132,2MASS J13595510-4034582,47.0,42.0,0.95
133,ULAS J141623.94+134836.3,72.0,43.0,1.07
134,SDSS J141659.78+500626.4 [de],47.0,71.0,1.01
135,DENIS-P J142527.97-365023.4 [de],104.0,49.0,1.22
136,LHS 2924,104.0,41.0,1.88
137,2MASS J14392837+1929150,35.1,73.0,0.96
138,LSPM J1440+1339,20.7,24.0,1.02
139,2MASS J14482563+1031590 [de],71.0,47.0,1.02
140,CFBDSIR 1458+10A,46.0,45.0,1.53
141,CFBDSIR 1458+10B,23.9,77.0,1.21
142,TVLM 513-46546,53.0,67.0,0.96
143,2MASS 1503+2525,89.0,96.0,0.99
144,CFBDS J150411+102717,34.0,25.0,1.33
145,2MASSW J1506544+132106 [de],67.0,46.0,1.41
146,2MASS 1507−1627,51.0,70.0,0.99
147,TVLM 868-110639,37.0,69.0,0.94
148,SDSS J151114.66+060742.9 [de],68.0,6.5,1.04
149,2MASSW J1515008+484742 [de],44.0,94.0,1.29
150,2MASSI J1526140+204341 [de],48.0,46.0,1.39
151,DENIS-P J153941.96-052042.4 [de],36.0,55.0,1.59
152,2MASS J15462718-3325111 [de],110.0,22.0,1.16
153,2MASSW J1552591+294849 [de],50.0,27.0,1.09
154,2MASSW J1555157-095605 [de],28.0,61.0,1.17
155,2MASS J16150413+1340079 [de],60.0,42.0,4.2
156,SDSSp J162414.37+002915.6 [de],114.0,73.0,3.8
157,2MASS J16262034+3925190 [de],79.0,12.0,0.86
